loan_amount,sba_guarantee_pct,interest_rate,term_months,jobs_supported,naics_sector,business_age,borr_state,has_collateral,is_revolver,loan_size_bucket,approval_year,approval_month,is_default,is_recent
25000,0.5,13.5,120,8.0,56,established,NH,0,0,micro,2023,1,0,1
15000,0.5,13.5,4,2.0,48,new,FL,0,0,micro,2023,1,1,1
25000,0.5,13.5,9,3.0,61,new,NJ,0,0,micro,2023,1,1,1
225000,0.75,7.75,300,3.0,53,established,MI,0,0,small,2023,1,0,1
40000,0.5,6.25,13,2.0,44,startup,OK,0,0,micro,2023,1,0,1
188800,0.75,6.66,300,1.0,72,change_of_ownership,IL,0,0,small,2023,1,0,1
495000,0.75,10.0,240,4.0,11,change_of_ownership,GA,0,0,small,2023,1,0,1
80000,0.5,11.3,23,4.0,42,established,NJ,0,0,micro,2023,1,0,1
214900,0.5,9.75,84,2.0,48,established,OH,0,0,small,2023,1,0,1
45000,0.5,13.5,120,4.0,23,new,MA,0,0,micro,2023,1,0,1
25000,0.5,12.8,120,0.0,23,established,NJ,0,0,micro,2023,1,0,1
25000,0.5,13.5,55,2.0,56,new,PA,0,0,micro,2023,1,1,1
2580000,0.75,10.25,129,10.0,72,startup,MI,0,0,jumbo,2023,1,0,1
15000,0.5,13.0,120,0.0,56,new,TX,0,0,micro,2023,1,0,1
50000,0.5,9.75,120,25.0,56,established,UT,0,0,micro,2023,1,0,1
50000,0.5,8.5,3,10.0,42,new,MN,0,0,micro,2023,1,0,1
110000,0.5,11.1,96,10.0,61,established,FL,0,0,micro,2023,1,1,1
10000,0.5,5.99,60,0.0,48,new,AZ,0,0,micro,2023,1,0,1
25000,0.5,9.5,97,14.0,72,new,MI,0,0,micro,2023,1,1,1
64000,0.5,10.0,66,2.0,44,new,MD,0,0,micro,2023,1,0,1
1500000,0.75,8.5,60,1.0,23,new,NC,0,0,large,2023,1,0,1
150000,0.5,4.5,120,4.0,54,established,NY,0,0,micro,2023,1,0,1
20000,0.5,12.0,120,2.0,44,new,TX,0,0,micro,2023,1,0,1
15800,0.5,5.99,60,0.0,23,new,MN,0,0,micro,2023,1,0,1
25000,0.5,13.5,96,0.0,54,new,NY,0,0,micro,2023,1,1,1
50000,0.85,9.5,60,14.0,72,new,MI,0,0,micro,2023,1,1,1
76500,0.75,10.25,100,4.0,54,startup,OH,0,0,micro,2023,1,1,1
25000,0.5,10.8,91,0.0,61,new,NY,0,0,micro,2023,1,1,1
900000,0.75,9.5,180,4.0,44,change_of_ownership,MI,0,0,medium,2023,1,0,1
20400,0.5,9.24,36,3.0,81,established,AR,0,0,micro,2023,1,0,1
1000000,0.75,10.25,120,35.0,23,established,FL,0,0,medium,2023,1,0,1
100000,0.85,9.5,120,2.0,81,change_of_ownership,CA,0,0,micro,2023,1,0,1
70000,0.75,9.67,120,8.0,72,startup,IL,0,0,micro,2023,1,0,1
547500,0.75,8.5,246,12.0,72,startup,MO,0,0,medium,2023,1,0,1
300000,0.5,10.25,72,2.0,23,established,MA,0,0,small,2023,1,0,1
10000,0.5,13.5,102,0.0,23,new,FL,0,0,micro,2023,1,1,1
8400,0.5,9.49,60,0.0,81,new,OH,0,0,micro,2023,1,0,1
2500000,0.75,9.25,302,1.0,62,established,AL,0,0,jumbo,2023,1,0,1
152800,0.75,10.25,300,7.0,31,startup,MO,0,0,small,2023,1,0,1
54000,0.85,11.5,300,16.0,72,new,NJ,0,0,micro,2023,1,0,1
935000,0.75,9.5,300,2.0,72,established,CA,0,0,medium,2023,1,0,1
50000,0.5,9.5,120,0.0,72,established,OH,0,0,micro,2023,1,0,1
350000,0.75,10.25,106,9.0,44,established,MS,0,0,small,2023,1,1,1
286000,0.75,9.75,120,6.0,71,startup,NC,0,0,small,2023,1,0,1
680000,0.75,9.5,300,1.0,32,new,CA,0,0,medium,2023,1,0,1
70000,0.5,7.5,60,2.0,23,established,VA,0,0,micro,2023,1,0,1
25000,0.5,13.5,112,0.0,54,new,NY,0,0,micro,2023,1,1,1
150000,0.5,3.51,120,3.0,54,established,FL,0,0,micro,2023,1,0,1
1726000,0.75,9.25,300,5.0,45,startup,TX,0,0,large,2023,1,0,1
189900,0.5,10.3,84,0.0,48,established,OH,0,0,small,2023,1,0,1
1794000,0.75,8.5,300,13.0,45,established,MN,0,0,large,2023,1,0,1
46300,0.5,7.74,60,3.0,81,established,WA,0,0,micro,2023,1,0,1
12000,0.5,7.74,36,0.0,23,established,CA,0,0,micro,2023,1,0,1
54000,0.5,10.8,6,1.0,54,established,FL,0,0,micro,2023,1,1,1
25000,0.5,11.25,60,2.0,53,new,WI,0,0,micro,2023,1,0,1
120000,0.5,10.0,66,22.0,72,startup,NY,0,0,micro,2023,1,1,1
5000,0.5,10.24,36,0.0,81,established,MO,0,0,micro,2023,1,0,1
392000,0.75,10.25,126,7.0,71,new,IL,0,0,small,2023,1,0,1
135600,0.85,11.25,101,0.0,44,established,NY,0,0,micro,2023,1,1,1
398900,0.75,10.25,126,6.0,72,startup,ID,0,0,small,2023,1,0,1
918000,0.75,7.75,120,2.0,52,change_of_ownership,MO,0,0,medium,2023,1,0,1
278900,0.75,9.75,123,17.0,71,new,TX,0,0,small,2023,1,0,1
100000,0.5,11.25,60,10.0,72,established,RI,0,0,micro,2023,1,0,1
142000,0.5,7.5,72,2.0,42,established,MN,0,0,micro,2023,1,0,1
10000,0.5,13.3,120,2.0,49,established,NY,0,0,micro,2023,1,0,1
158000,0.75,10.25,101,3.0,23,established,AZ,0,0,small,2023,1,1,1
349000,0.75,10.25,89,16.0,72,startup,TX,0,0,small,2023,1,1,1
50000,0.5,9.0,120,68.0,72,established,IL,0,0,micro,2023,1,0,1
50000,0.5,10.5,60,2.0,23,established,HI,0,0,micro,2023,1,0,1
25000,0.5,14.0,120,1.0,23,established,OH,0,0,micro,2023,1,0,1
671400,0.75,10.0,300,12.0,42,established,CA,0,0,medium,2023,1,0,1
13500,0.5,10.0,36,2.0,72,new,WA,0,0,micro,2023,1,0,1
129000,0.85,11.25,102,2.0,42,established,NY,0,0,micro,2023,1,1,1
75000,0.5,12.0,120,0.0,23,established,NY,0,0,micro,2023,1,0,1
225000,0.5,9.5,48,22.0,48,established,TX,0,0,small,2023,1,0,1
10000,0.5,14.0,120,1.0,53,new,UT,0,0,micro,2023,1,0,1
40000,0.5,8.5,12,2.0,56,established,WI,0,0,micro,2023,1,0,1
25000,0.5,14.0,104,2.0,23,new,PA,0,0,micro,2023,1,1,1
19000,0.5,8.99,84,0.0,23,established,TN,0,0,micro,2023,1,0,1
95000,0.5,12.0,73,6.0,54,established,MD,0,0,micro,2023,1,1,1
100000,0.5,9.5,120,5.0,56,established,OH,0,0,micro,2023,1,0,1
418500,0.75,8.5,120,23.0,81,established,WI,0,0,small,2023,1,0,1
535000,0.75,10.0,124,7.0,81,established,GA,0,0,medium,2023,1,0,1
13500,0.5,8.95,36,1.0,48,startup,MN,0,0,micro,2023,1,0,1
335000,0.75,10.25,120,5.0,54,established,NY,0,0,small,2023,1,1,1
100000,0.5,9.0,73,13.0,44,established,FL,0,0,micro,2023,1,0,1
500000,0.75,9.25,120,3.0,45,new,CA,0,0,small,2023,1,0,1
3393000,0.75,9.0,120,80.0,54,change_of_ownership,ID,0,0,jumbo,2023,1,0,1
420000,0.5,8.7,300,1.0,54,established,KY,0,0,small,2023,1,0,1
37000,0.5,9.5,92,2.0,23,established,OH,0,0,micro,2023,1,1,1
198500,0.75,8.5,120,33.0,72,established,IA,0,0,small,2023,1,0,1
1305100,0.75,10.25,126,23.0,31,startup,MD,0,0,large,2023,1,0,1
100000,0.5,11.25,57,13.0,54,new,NJ,0,0,micro,2023,1,1,1
38500,0.5,8.99,84,6.0,23,established,CO,0,0,micro,2023,1,0,1
367200,0.75,10.25,300,2.0,81,established,OR,0,0,small,2023,1,0,1
15000,0.5,14.0,120,0.0,33,new,CA,0,0,micro,2023,1,0,1
50000,0.5,9.5,120,6.0,23,startup,GA,0,0,micro,2023,1,0,1
120000,0.85,11.25,120,7.0,11,established,NY,0,0,micro,2023,1,0,1
68000,0.5,7.5,60,2.0,45,change_of_ownership,WI,0,0,micro,2023,1,0,1
500000,0.5,9.0,120,8.0,23,new,VA,0,0,small,2023,1,0,1
40000,0.5,9.49,48,2.0,42,established,OH,0,0,micro,2023,1,0,1
5000000,0.75,9.0,300,17.0,72,startup,TX,0,0,jumbo,2023,1,0,1
700000,0.75,9.5,126,7.0,32,startup,CA,0,0,medium,2023,1,0,1
400000,0.5,10.25,72,80.0,54,established,ID,0,0,small,2023,1,0,1
15000,0.5,9.5,120,2.0,45,change_of_ownership,WI,0,0,micro,2023,1,0,1
822500,0.75,10.25,120,12.0,23,established,TX,0,0,medium,2023,1,0,1
1032100,0.75,9.75,120,8.0,23,change_of_ownership,CA,0,0,large,2023,1,0,1
8000,0.5,14.0,55,3.0,72,startup,NY,0,0,micro,2023,1,0,1
50000,0.5,11.0,60,3.0,71,established,NY,0,0,micro,2023,1,0,1
120000,0.85,9.5,240,100.0,23,established,IN,0,0,micro,2023,1,0,1
1855000,0.75,8.0,120,14.0,23,new,OK,0,0,large,2023,1,0,1
17500,0.5,9.5,119,2.0,23,new,MO,0,0,micro,2023,1,0,1
2376300,0.75,8.25,120,47.0,54,established,AR,0,0,jumbo,2023,1,0,1
500000,0.75,10.25,120,72.0,32,established,PA,0,0,small,2023,1,0,1
2710000,0.75,9.5,300,15.0,72,startup,WA,0,0,jumbo,2023,1,0,1
25000,0.5,13.3,120,1.0,23,established,PA,0,0,micro,2023,1,0,1
1312000,0.3915,10.25,120,9.0,53,established,CO,0,0,large,2023,1,0,1
150000,0.85,11.25,102,4.0,23,established,NV,0,0,micro,2023,1,1,1
150000,0.85,11.25,120,5.0,23,established,FL,0,0,micro,2023,1,0,1
50000,0.5,10.0,120,6.0,72,change_of_ownership,NY,0,0,micro,2023,1,0,1
681900,0.75,10.5,120,4.0,42,change_of_ownership,GA,0,0,medium,2023,1,0,1
50000,0.5,10.0,120,9.0,23,startup,SC,0,0,micro,2023,1,0,1
690300,0.75,9.75,120,18.0,54,startup,FL,0,0,medium,2023,1,0,1
21400,0.5,8.5,72,2.0,54,established,KS,0,0,micro,2023,1,0,1
100000,0.5,9.0,12,12.0,56,established,TX,0,0,micro,2023,1,0,1
659000,0.75,10.0,120,9.0,23,startup,SC,0,0,medium,2023,1,0,1
50000,0.5,13.3,95,0.0,42,established,NJ,0,0,micro,2023,1,1,1
150000,0.85,10.25,93,6.0,23,established,FL,0,0,micro,2023,1,1,1
173600,0.75,10.25,120,2.0,53,startup,UT,0,0,small,2023,1,0,1
28000,0.5,14.0,120,2.0,23,established,FL,0,0,micro,2023,1,0,1
100000,0.5,12.0,80,3.0,23,new,FL,0,0,micro,2023,1,0,1
250000,0.5,9.5,120,10.0,54,established,VT,0,0,small,2023,1,0,1
150000,0.85,10.5,120,7.0,72,new,TX,0,0,micro,2023,1,0,1
297000,0.75,10.0,120,6.0,72,change_of_ownership,NY,0,0,small,2023,1,0,1
25000,0.5,14.0,120,2.0,54,new,TX,0,0,micro,2023,1,0,1
25000,0.5,13.3,120,2.0,44,new,NY,0,0,micro,2023,1,0,1
125000,0.5,8.65,120,4.0,23,established,FL,0,0,micro,2023,1,0,1
236500,0.75,10.25,120,2.0,54,new,PA,0,0,small,2023,1,0,1
15000,0.5,9.49,84,1.0,61,new,NV,0,0,micro,2023,1,0,1
219000,0.5,9.75,84,1.0,48,established,MI,0,0,small,2023,1,0,1
10000,0.5,10.74,36,1.0,81,established,CT,0,0,micro,2023,1,0,1
520000,0.75,8.5,120,26.0,23,established,PA,0,0,medium,2023,1,0,1
100000,0.85,11.25,120,2.0,11,established,CA,0,0,micro,2023,1,0,1
4307000,0.75,10.0,240,14.0,72,change_of_ownership,WA,0,0,jumbo,2023,1,0,1
369000,0.75,10.25,92,5.0,52,new,TX,0,0,small,2023,1,1,1
100000,0.5,11.7,120,79.0,62,established,RI,0,0,micro,2023,1,0,1
300000,0.5,8.8,120,6.0,23,established,TX,0,0,small,2023,1,0,1
15000,0.5,13.5,93,0.0,23,new,NC,0,0,micro,2023,1,1,1
100000,0.5,10.0,28,4.0,54,startup,DE,0,0,micro,2023,1,1,1
10000,0.5,10.0,90,13.0,31,startup,MI,0,0,micro,2023,1,1,1
30000,0.5,8.49,28,2.0,81,established,CA,0,0,micro,2023,1,1,1
22500,0.85,12.5,72,2.0,54,startup,CA,0,0,micro,2023,1,0,1
10500,0.5,9.49,84,3.0,45,established,TX,0,0,micro,2023,1,0,1
50000,0.85,12.5,52,3.0,81,startup,TX,0,0,micro,2023,1,1,1
260000,0.75,10.25,120,14.0,48,startup,AL,0,0,small,2023,1,0,1
20000,0.5,9.74,36,0.0,44,established,MO,0,0,micro,2023,1,0,1
85000,0.5,10.0,120,2.0,54,established,NY,0,0,micro,2023,1,0,1
100000,0.5,10.5,91,20.0,45,established,PA,0,0,micro,2023,1,0,1
200000,0.5,10.25,120,15.0,54,new,NJ,0,0,small,2023,1,0,1
153500,0.75,10.25,100,2.0,48,established,CA,0,0,small,2023,1,1,1
25000,0.5,5.8,53,1.0,53,new,FL,0,0,micro,2023,1,1,1
21000,0.5,11.5,120,1.0,56,established,MD,0,0,micro,2023,1,0,1
5000000,0.75,9.0,300,14.0,42,established,CA,0,0,jumbo,2023,1,0,1
200000,0.5,10.59,120,33.0,72,established,MA,0,0,small,2023,1,0,1
170000,0.75,10.25,120,6.0,56,startup,IA,0,0,small,2023,1,0,1
165400,0.75,10.25,120,2.0,56,startup,TX,0,0,small,2023,1,0,1
547600,0.75,8.15,120,6.0,42,established,CO,0,0,medium,2023,1,1,1
25000,0.5,13.3,120,10.0,56,new,NC,0,0,micro,2023,1,0,1
960000,0.75,8.25,309,12.0,81,new,CO,0,0,medium,2023,1,0,1
145000,0.5,11.3,120,0.0,45,established,FL,0,0,micro,2023,1,0,1
20000,0.5,11.0,60,6.0,44,startup,NY,0,0,micro,2023,1,0,1
500000,0.9,10.0,120,34.0,31,established,CA,0,0,small,2023,1,0,1
150000,0.5,11.99,120,13.0,23,established,LA,0,0,micro,2023,1,0,1
350000,0.75,10.25,120,3.0,51,established,OH,0,0,small,2023,1,0,1
38500,0.5,10.45,84,0.0,48,established,MI,0,0,micro,2023,1,0,1
2243100,0.75,9.75,120,2.0,54,change_of_ownership,OH,0,0,jumbo,2023,1,0,1
25000,0.5,10.25,120,2.0,31,established,OR,0,0,micro,2023,1,0,1
350000,0.75,10.25,120,10.0,81,new,CO,0,0,small,2023,1,0,1
374000,0.75,6.5,120,1.0,23,established,MN,0,0,small,2023,1,0,1
100000,0.5,11.75,120,2.0,48,established,PA,0,0,micro,2023,1,0,1
21000,0.5,9.5,48,2.0,56,new,OK,0,0,micro,2023,1,0,1
70000,0.85,10.5,120,2.0,71,established,GA,0,0,micro,2023,1,0,1
100000,0.5,9.75,120,0.0,54,established,OH,0,0,micro,2023,1,0,1
250000,0.5,8.5,84,1.0,23,established,MN,0,0,small,2023,1,0,1
10000,0.5,11.75,60,40.0,23,established,HI,0,0,micro,2023,1,0,1
150000,0.5,10.0,72,15.0,23,established,MO,0,0,micro,2023,1,0,1
5000,0.5,14.0,106,1.0,45,new,CO,0,0,micro,2023,1,0,1
1683000,0.75,7.5,300,10.0,33,established,TX,0,0,large,2023,1,0,1
350000,0.75,10.25,103,1.0,52,established,CA,0,0,small,2023,1,1,1
163000,0.75,7.5,120,12.0,23,established,UT,0,0,small,2023,1,0,1
50000,0.5,8.0,60,4.0,81,established,MA,0,0,micro,2023,1,0,1
25000,0.5,10.0,120,8.0,62,established,WA,0,0,micro,2023,1,0,1
1225000,0.75,10.25,120,300.0,62,change_of_ownership,NJ,0,0,large,2023,1,0,1
25000,0.5,11.5,60,2.0,23,new,NJ,0,0,micro,2023,1,0,1
584000,0.75,6.75,300,13.0,48,established,NM,0,0,medium,2023,1,0,1
76000,0.5,7.5,84,6.0,61,established,CA,0,0,micro,2023,1,0,1
710000,0.75,10.0,120,2.0,62,change_of_ownership,VA,0,0,medium,2023,1,0,1
30000,0.5,9.49,60,5.0,54,new,IL,0,0,micro,2023,1,0,1
25000,0.5,13.3,85,1.0,81,established,NJ,0,0,micro,2023,1,1,1
50000,0.5,10.5,120,5.0,44,new,CT,0,0,micro,2023,1,0,1
30000,0.5,12.0,120,0.0,48,new,SD,0,0,micro,2023,1,0,1
150000,0.5,10.25,120,0.0,56,established,MN,0,0,micro,2023,1,0,1
746600,0.75,10.0,120,20.0,49,new,OH,0,0,medium,2023,1,0,1
125000,0.5,7.75,240,4.0,44,established,WV,0,0,micro,2023,1,0,1
165300,0.5,9.8,84,4.0,23,established,MI,0,0,small,2023,1,0,1
150000,0.5,10.25,120,1.0,42,established,FL,0,0,micro,2023,1,0,1
49300,0.5,6.5,84,2.0,23,new,MA,0,0,micro,2023,1,0,1
138000,0.5,8.0,84,2.0,48,new,MS,0,0,micro,2023,1,1,1
210000,0.75,6.94,120,30.0,81,startup,NC,0,0,small,2023,1,0,1
135000,0.5,9.5,120,16.0,23,new,UT,0,0,micro,2023,1,0,1
622000,0.75,8.5,300,16.0,62,new,NY,0,0,medium,2023,1,0,1
196400,0.75,9.5,96,3.0,31,startup,SD,0,0,small,2023,1,1,1
15000,0.5,13.5,94,0.0,62,new,FL,0,0,micro,2023,1,1,1
