borrstate,total,actual_default,mean_prob,approval_rate,calibration_error,abs_calibration_error,calibration_flag
AZ,1887,0.06677265500794913,0.1649921876173217,0.8468468468468469,0.0982,0.0982,False
CA,11531,0.07570895845980401,0.16212031036683647,0.8475414101118723,0.0864,0.0864,False
CO,2355,0.05859872611464968,0.17055801616740876,0.840339702760085,0.112,0.112,False
CT,989,0.07785642062689585,0.20748956971182358,0.8038422649140546,0.1296,0.1296,False
FL,4691,0.11383500319761244,0.24226201647917642,0.7563419313579194,0.1284,0.1284,False
GA,2551,0.0831046648373187,0.18079761107082626,0.8196785574284594,0.0977,0.0977,False
IL,3116,0.09210526315789473,0.19532098536469594,0.8109756097560976,0.1032,0.1032,False
IN,2163,0.05917706888580675,0.22059717327708311,0.7702265372168284,0.1614,0.1614,False
MA,3470,0.06311239193083573,0.18550416756441104,0.8340057636887608,0.1224,0.1224,False
MD,1373,0.09322651128914786,0.2423905634694385,0.7640203932993446,0.1492,0.1492,False
MI,3779,0.050542471553320985,0.16035185486931072,0.8457263826409103,0.1098,0.1098,False
MN,2926,0.0468215994531784,0.16389106218591618,0.83526999316473,0.1171,0.1171,False
MO,1818,0.08195819581958196,0.21685790020386342,0.7810781078107811,0.1349,0.1349,False
NC,1825,0.07780821917808219,0.20987392045252343,0.793972602739726,0.1321,0.1321,False
NJ,2474,0.10630557801131771,0.24523796880788928,0.7635408245755861,0.1389,0.1389,False
NY,6029,0.08973295737269862,0.2224183596168207,0.7742577541880908,0.1327,0.1327,False
OH,5560,0.05881294964028777,0.15451323976277753,0.8588129496402878,0.0957,0.0957,False
OR,1398,0.05078683834048641,0.13927024680911296,0.8748211731044349,0.0885,0.0885,False
PA,3077,0.06174845628859278,0.1925359852909384,0.8118297042573935,0.1308,0.1308,False
TX,7225,0.0988235294117647,0.23131882516978136,0.7623529411764706,0.1325,0.1325,False
UT,2053,0.04968339016074038,0.18134232884279378,0.8188017535314174,0.1317,0.1317,False
VA,1442,0.09500693481276005,0.25597264763942945,0.7385575589459085,0.161,0.161,False
WA,2614,0.05241009946442234,0.1434498702258276,0.8649579188982403,0.091,0.091,False
WI,2557,0.050058662495111456,0.16057289364947766,0.8380915134923739,0.1105,0.1105,False
