borrstate,total,actual_defaults,predicted_high_risk,mean_prob,actual_default_rate,approval_rate,pct_of_total,di_ratio,di_flag,reference_group,reference_rate
AK,171,8,44,0.23837983596074322,0.0468,0.7427,0.0018,0.849,False,OR,0.8748
AL,648,50,140,0.21512158743318965,0.0772,0.784,0.0068,0.8962,False,OR,0.8748
AR,578,37,156,0.24233405630268914,0.064,0.7301,0.0061,0.8346,False,OR,0.8748
AZ,1887,126,289,0.1649921876173217,0.0668,0.8468,0.0198,0.968,False,OR,0.8748
CA,11531,873,1758,0.16212031036683647,0.0757,0.8475,0.1207,0.9688,False,OR,0.8748
CO,2355,138,376,0.17055801616740876,0.0586,0.8403,0.0247,0.9606,False,OR,0.8748
CT,989,77,194,0.20748956971182358,0.0779,0.8038,0.0104,0.9188,False,OR,0.8748
DC,142,11,40,0.2646440600299988,0.0775,0.7183,0.0015,0.8211,False,OR,0.8748
DE,272,19,71,0.23161567088176593,0.0699,0.739,0.0028,0.8448,False,OR,0.8748
FL,4691,534,1143,0.24226201647917642,0.1138,0.7563,0.0491,0.8645,False,OR,0.8748
FM,1,0,0,0.06571204369642186,0.0,1.0,0.0,1.1431,False,OR,0.8748
GA,2551,212,460,0.18079761107082626,0.0831,0.8197,0.0267,0.937,False,OR,0.8748
GU,85,4,24,0.25591736545740285,0.0471,0.7176,0.0009,0.8203,False,OR,0.8748
HI,540,41,113,0.21826353052995562,0.0759,0.7907,0.0057,0.9039,False,OR,0.8748
IA,752,52,193,0.24990001270393464,0.0691,0.7434,0.0079,0.8498,False,OR,0.8748
ID,933,33,140,0.15638186626678713,0.0354,0.8499,0.0098,0.9715,False,OR,0.8748
IL,3116,287,589,0.19532098536469594,0.0921,0.811,0.0326,0.9271,False,OR,0.8748
IN,2163,128,497,0.22059717327708311,0.0592,0.7702,0.0226,0.8804,False,OR,0.8748
KS,787,51,201,0.2439857998606515,0.0648,0.7446,0.0082,0.8512,False,OR,0.8748
KY,885,58,198,0.22298030707412297,0.0655,0.7763,0.0093,0.8874,False,OR,0.8748
LA,709,54,169,0.2296109876942432,0.0762,0.7616,0.0074,0.8706,False,OR,0.8748
