group,total,tp,fp,tn,fn,tpr,fpr,precision,tpr_ratio,fpr_ratio,tpr_flag,fpr_flag,any_flag,reference_group,ref_tpr,ref_fpr
11,1598,71,373,1151,3,0.9595,0.2448,0.1599,0.9938,3.6757,False,True,True,52,0.9655,0.0666
23,10480,797,1271,8373,39,0.9533,0.1318,0.3854,0.9874,1.979,False,True,True,52,0.9655,0.0666
31,1919,104,316,1488,11,0.9043,0.1752,0.2476,0.9366,2.6306,False,True,True,52,0.9655,0.0666
32,1790,121,252,1409,8,0.938,0.1517,0.3244,0.9715,2.2778,False,True,True,52,0.9655,0.0666
33,3875,196,572,3099,8,0.9608,0.1558,0.2552,0.9951,2.3393,False,True,True,52,0.9655,0.0666
42,5132,409,686,4020,17,0.9601,0.1458,0.3735,0.9944,2.1892,False,True,True,52,0.9655,0.0666
44,9310,659,1078,7545,28,0.9592,0.125,0.3794,0.9935,1.8769,False,True,True,52,0.9655,0.0666
45,3665,356,459,2834,16,0.957,0.1394,0.4368,0.9912,2.0931,False,True,True,52,0.9655,0.0666
48,5246,444,641,4142,19,0.959,0.134,0.4092,0.9933,2.012,False,True,True,52,0.9655,0.0666
51,1124,84,159,878,3,0.9655,0.1533,0.3457,1.0,2.3018,False,True,True,52,0.9655,0.0666
52,1738,84,110,1541,3,0.9655,0.0666,0.433,1.0,1.0,False,False,False,52,0.9655,0.0666
53,2118,107,236,1767,8,0.9304,0.1178,0.312,0.9636,1.7688,False,True,True,52,0.9655,0.0666
54,9464,583,1124,7734,23,0.962,0.1269,0.3415,0.9964,1.9054,False,True,True,52,0.9655,0.0666
56,4575,344,537,3676,18,0.9503,0.1275,0.3905,0.9843,1.9144,False,True,True,52,0.9655,0.0666
61,1323,111,181,1026,5,0.9569,0.15,0.3801,0.9911,2.2523,False,True,True,52,0.9655,0.0666
62,8629,376,879,7345,29,0.9284,0.1069,0.2996,0.9616,1.6051,False,True,True,52,0.9655,0.0666
71,2678,232,388,2049,9,0.9627,0.1592,0.3742,0.9971,2.3904,False,True,True,52,0.9655,0.0666
72,12058,939,1668,9405,46,0.9533,0.1506,0.3602,0.9874,2.2613,False,True,True,52,0.9655,0.0666
81,7968,591,937,6418,22,0.9641,0.1274,0.3868,0.9985,1.9129,False,True,True,52,0.9655,0.0666
