group,total,tp,fp,tn,fn,tpr,fpr,precision,tpr_ratio,fpr_ratio,tpr_flag,fpr_flag,any_flag,reference_group,ref_tpr,ref_fpr
AZ,1887,121,168,1593,5,0.9603,0.0954,0.4187,1.0027,1.1836,False,False,False,OR,0.9577,0.0806
CA,11531,839,919,9739,34,0.9611,0.0862,0.4772,1.0036,1.0695,False,False,False,OR,0.9577,0.0806
CO,2355,133,243,1974,5,0.9638,0.1096,0.3537,1.0064,1.3598,False,True,True,OR,0.9577,0.0806
CT,989,76,118,794,1,0.987,0.1294,0.3918,1.0306,1.6055,False,True,True,OR,0.9577,0.0806
FL,4691,509,634,3523,25,0.9532,0.1525,0.4453,0.9953,1.8921,False,True,True,OR,0.9577,0.0806
GA,2551,199,261,2078,13,0.9387,0.1116,0.4326,0.9802,1.3846,False,True,True,OR,0.9577,0.0806
IL,3116,270,319,2510,17,0.9408,0.1128,0.4584,0.9824,1.3995,False,True,True,OR,0.9577,0.0806
IN,2163,121,376,1659,7,0.9453,0.1848,0.2435,0.9871,2.2928,False,True,True,OR,0.9577,0.0806
MA,3470,214,362,2889,5,0.9772,0.1114,0.3715,1.0204,1.3821,False,True,True,OR,0.9577,0.0806
MD,1373,123,201,1044,5,0.9609,0.1614,0.3796,1.0033,2.0025,False,True,True,OR,0.9577,0.0806
MI,3779,185,398,3190,6,0.9686,0.1109,0.3173,1.0114,1.3759,False,True,True,OR,0.9577,0.0806
MN,2926,128,354,2435,9,0.9343,0.1269,0.2656,0.9756,1.5744,False,True,True,OR,0.9577,0.0806
MO,1818,141,257,1412,8,0.9463,0.154,0.3543,0.9881,1.9107,False,True,True,OR,0.9577,0.0806
NC,1825,138,238,1445,4,0.9718,0.1414,0.367,1.0147,1.7543,False,True,True,OR,0.9577,0.0806
NJ,2474,244,341,1870,19,0.9278,0.1542,0.4171,0.9688,1.9132,False,True,True,OR,0.9577,0.0806
NY,6029,511,850,4638,30,0.9445,0.1549,0.3755,0.9862,1.9218,False,True,True,OR,0.9577,0.0806
OH,5560,314,471,4762,13,0.9602,0.09,0.4,1.0026,1.1166,False,False,False,OR,0.9577,0.0806
OR,1398,68,107,1220,3,0.9577,0.0806,0.3886,1.0,1.0,False,False,False,OR,0.9577,0.0806
PA,3077,176,403,2484,14,0.9263,0.1396,0.304,0.9672,1.732,False,True,True,OR,0.9577,0.0806
TX,7225,685,1032,5479,29,0.9594,0.1585,0.399,1.0018,1.9665,False,True,True,OR,0.9577,0.0806
UT,2053,93,279,1672,9,0.9118,0.143,0.25,0.9521,1.7742,False,True,True,OR,0.9577,0.0806
VA,1442,133,244,1061,4,0.9708,0.187,0.3528,1.0137,2.3201,False,True,True,OR,0.9577,0.0806
WA,2614,133,220,2257,4,0.9708,0.0888,0.3768,1.0137,1.1017,False,False,False,OR,0.9577,0.0806
WI,2557,122,292,2137,6,0.9531,0.1202,0.2947,0.9952,1.4913,False,True,True,OR,0.9577,0.0806
