term_months,interest_rate,loan_amount,sba_guarantee_pct,business_age_mature,loan_size_bucket_micro,naics_sector_62,loan_size_bucket_large,borr_state_FL,business_age_startup,borr_state_TX,jobs_supported,business_age_established,loan_size_bucket_small,borr_state_CA,loan_size_bucket_medium,business_age_new,naics_sector_48,borr_state_WI,borr_state_NJ,borr_state_NY,naics_sector_71,naics_sector_52,borr_state_WA,naics_sector_45,borr_state_MN,predicted_prob,source,decision,requires_adverse_action,reason_codes
240,0.065,1121650.14,0.84,1,0,0,0,0,0,0,296,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.04565182532182082,Gemini,Approved,False,
234,0.063,776472.93,0.83,1,0,0,0,0,0,0,457,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.7723901412434964,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Employment Impact | Insufficient Loan Term Length
268,0.061,1663189.5,0.76,1,0,1,0,0,0,0,229,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8729935190780832,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
204,0.057,1716382.11,0.83,1,0,0,0,0,0,1,166,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9036209230975958,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
278,0.061,1134262.29,0.81,1,0,0,0,0,0,0,206,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.9279361435008211,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
230,0.068,1434316.32,0.84,1,0,0,0,0,0,0,419,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8838001037944679,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Employment Impact | Insufficient Loan Term Length
289,0.052,997793.18,0.78,1,0,0,0,0,0,0,405,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.473617067155223,Gemini,Approved - Unfavorable Terms,True,Loan Amount Outside Acceptable Range | Insufficient Employment Impact | Insufficient Loan Term Length
294,0.054,1515286.07,0.82,1,0,0,0,0,0,0,147,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.9306341904471878,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
258,0.051,1925345.92,0.77,1,0,0,0,1,0,0,165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9311033894525588,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
221,0.057,597089.47,0.79,1,0,0,0,0,0,0,452,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8841257808050949,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Employment Impact | Insufficient Loan Term Length
288,0.067,419830.49,0.8,1,0,0,0,0,0,0,317,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7725699484296312,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Employment Impact | Insufficient Loan Term Length
234,0.051,894868.04,0.83,1,0,0,0,0,0,0,278,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6558553818034623,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Employment Impact | Insufficient Loan Term Length
239,0.068,1310156.45,0.75,1,0,0,0,0,0,0,447,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7701219717106143,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Employment Impact | Insufficient Loan Term Length
229,0.067,613725.13,0.8,1,0,0,0,0,0,0,391,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.7639770314624933,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Employment Impact | Insufficient Loan Term Length
209,0.059,1902264.49,0.8,1,0,0,0,0,0,0,131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9647319079329578,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
180,0.088,140810.02,0.67,0,0,0,0,0,0,0,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.16598290118691653,Gemini,Approved,False,
204,0.076,211833.09,0.73,0,0,0,0,0,0,0,67,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.8469963309537615,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
203,0.081,95743.68,0.74,0,0,0,0,0,0,0,76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8051951229492974,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
172,0.073,285368.51,0.66,0,0,0,0,1,0,0,51,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.669934133907652,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
135,0.086,134375.49,0.73,0,0,0,0,0,0,0,67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6958605097081029,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
174,0.087,55097.35,0.67,0,0,0,0,0,0,0,72,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.9026737997105061,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
132,0.089,286377.92,0.68,0,0,1,0,0,0,0,91,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.49252726515231887,Gemini,Approved - Unfavorable Terms,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
123,0.072,216892.42,0.74,0,0,0,0,0,0,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.26328648783097996,Gemini,Approved,False,
138,0.077,329881.0,0.7,0,0,0,0,0,0,1,28,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.756020523286048,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
177,0.088,294326.68,0.72,0,0,0,0,0,0,0,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6729829142133621,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
186,0.088,140220.89,0.68,0,0,0,0,0,0,0,80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6178427888976319,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
208,0.075,107147.28,0.67,0,0,0,0,0,0,0,29,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.8157929162625028,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
133,0.08,300763.53,0.73,0,0,0,0,0,0,0,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7457261558512549,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
235,0.081,257530.82,0.74,0,0,0,0,0,0,0,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.8597174077109859,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
122,0.074,167156.45,0.69,0,0,0,0,0,0,0,94,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.22620631838489472,Gemini,Approved,False,
169,0.071,326910.74,0.72,0,0,0,0,0,0,0,95,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6426683659612438,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
171,0.083,165276.43,0.74,0,0,0,0,0,0,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8143114985713706,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
147,0.086,60655.22,0.71,0,0,0,0,0,0,0,51,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.8119614603071612,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
155,0.077,53907.3,0.71,0,0,0,0,0,0,0,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8201769677455247,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
133,0.085,278910.66,0.69,0,0,0,0,0,0,0,67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6508181540748703,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
116,0.116,2180582.49,0.6,1,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9115978146890628,Gemini,Denied,True,Loan Amount Outside Acceptable Range | Insufficient Loan Term Length | Insufficient Employment Impact
